,의료용 물질 및 의약품 제조업,음료 제조업,육상운송 및 파이프라인 운송업,금융업,전문서비스업,종합 건설업,자동차 및 트레일러 제조업,도매 및 상품 중개업,전자부품· 컴퓨터· 영상· 음향 및,보험 및 연금업,의약품 제외,비금속 광물제품 제조업,1차 금속 제조업,소매업; 자동차 제외,금융 및 보험 관련 서비스업,전기장비 제조업,화학물질 및 화학제품 제조업;,식료품 제조업,통신장비 제조업,의복· 의복액세서리 및 모피제품,기타 기계 및 장비 제조업,수상 운송업,항공 운송업,영상·오디오 기록물 제작 및 배급업,창고 및 운송관련 서비스업,펄프· 종이 및 종이제품 제조업,고무 및 플라스틱제품 제조업,우편 및 통신업,금속가공제품 제조업;기계 및,가구 제외,기타 운송장비 제조업,컴퓨터 프로그래밍· 시스템 통합 및 관리업,코크스· 연탄 및 석유정제품 제조업,전기· 가스· 증기 및 공기조절 공급업,정보서비스업,기타 개인 서비스업,건축기술· 엔지니어링 및 기타,출판업,의료· 정밀· 광학기기 및 시계 제조업,목재 및 나무제품 제조업;가구제외,전문직별 공사업,폐기물 수집· 운반· 처리 및 원료 재생업,인쇄 및 기록매체 복제업,창작· 예술 및 여가관련 서비스업,방송업,스포츠 및 오락관련 서비스업,기타 전문· 과학 및 기술 서비스업,교육 서비스업,사업시설 관리 및 조경 서비스업,사업지원 서비스업,환경 정화 및 복원업,과학기술 서비스업,연구개발업,기타 제품 제조업,섬유제품 제조업; 의복제외,자동차 및 부품 판매업
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
MAD01,0.04032258064516129,0.0,0.0,0.0050933786078098476,0.0,0.003395585738539898,0.03395585738539898,0.0050933786078098476,0.16723259762308998,0.0,0.01400679117147708,0.005942275042444821,0.007640067911714771,0.009762308998302207,0.001697792869269949,0.06706281833616298,0.023769100169779286,0.0,0.5394736842105263,0.0,0.0012733446519524619,0.0,0.0021222410865874364,0.0025466893039049238,0.0,0.0,0.0,0.0025466893039049238,0.0029711375212224107,0.0,0.010611205432937181,0.0012733446519524619,0.005942275042444821,0.0038200339558573855,0.020797962648556875,0.0,0.0012733446519524619,0.0012733446519524619,0.003395585738539898,0.0,0.0,0.0,0.0,0.0,0.0,0.001697792869269949,0.0,0.0,0.0,0.0025466893039049238,0.0,0.0,0.010186757215619695,0.0,0.0012733446519524619,0.0
MAD02,0.03241491085899514,0.0,0.0,0.13614262560777957,0.004862236628849271,0.04051863857374392,0.04213938411669368,0.009724473257698542,0.059967585089141004,0.011345218800648298,0.0,0.0,0.0,0.017828200972447326,0.06969205834683954,0.0,0.017828200972447326,0.0,0.2965964343598055,0.0,0.04051863857374392,0.0,0.10372771474878444,0.009724473257698542,0.0,0.0,0.0,0.008103727714748784,0.0,0.0,0.011345218800648298,0.0,0.02106969205834684,0.012965964343598054,0.03403565640194489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019448946515397084,0.0,0.0,0.0
MAD03,0.3946360153256705,0.001277139208173691,0.002234993614303959,0.011494252873563218,0.0,0.0009578544061302681,0.020114942528735632,0.03735632183908046,0.0140485312899106,0.0019157088122605363,0.026181353767560665,0.006066411238825032,0.016602809706257982,0.0009578544061302681,0.004469987228607918,0.029693486590038315,0.015006385696040868,0.02330779054916986,0.07183908045977011,0.006385696040868455,0.03639846743295019,0.0015964240102171138,0.007343550446998723,0.008620689655172414,0.0,0.02713920817369093,0.013409961685823755,0.0009578544061302681,0.0,0.007982120051085569,0.0351213282247765,0.01277139208173691,0.0,0.001277139208173691,0.009578544061302681,0.0,0.011174968071519796,0.016602809706257982,0.015006385696040868,0.0,0.0019157088122605363,0.0019157088122605363,0.0038314176245210726,0.007982120051085569,0.0,0.001277139208173691,0.001277139208173691,0.004150702426564496,0.0,0.0,0.0,0.0,0.08077905491698595,0.0,0.007343550446998723,0.0
MAD04,0.2224467117890696,0.002626527932114355,0.001212243660975856,0.020608142236589553,0.0008081624406505708,0.003838771593090211,0.028689766643095263,0.03394282250732397,0.06394585311647641,0.0036367309829275682,0.03919587837155268,0.008485705626830993,0.015860187897767452,0.009192847762400242,0.004141832508334175,0.04556015759167593,0.027275482371956764,0.012223456914839883,0.21305182341650672,0.0042428528134154965,0.019294878270532376,0.000303060915243964,0.01202141630467724,0.010203050813213457,0.0,0.017476512779068594,0.0027275482371956765,0.006465299525204566,0.0009091827457318921,0.0030306091524396404,0.021517324982321447,0.0050510152540660675,0.008788766542074958,0.003232649762602283,0.025861198100818265,0.0,0.004343873118496818,0.021214264067077482,0.00979896959288817,0.0,0.001212243660975856,0.000303060915243964,0.0010102030508132135,0.0019193857965451055,0.0007071421355692494,0.00373775128800889,0.0019193857965451055,0.005354076169310031,0.0,0.0,0.000606121830487928,0.0,0.042125467218911,0.001212243660975856,0.006667340135367209,0.0
MAD05,0.21768124225969324,0.003905877869867581,0.0005715918833952558,0.020100981232733163,0.0,0.006478041345146232,0.02991330856435172,0.05915975993140898,0.026864818519577022,0.0018100409640849767,0.034581308945412975,0.00676383728684386,0.01762408307135372,0.010574449842812233,0.004953796322758884,0.037344003048490046,0.026579022577879394,0.015242450223873487,0.13889682766504716,0.008669143564828046,0.02572163475278651,0.001238449080689721,0.016480899304563208,0.008669143564828046,0.0006668571972944651,0.011908164237401162,0.004382204439363628,0.005811184147851767,0.0002857959416976279,0.00685910260074307,0.03515290082880823,0.009336000762122511,0.008573878250928837,0.0036200819281699535,0.07554539392207298,0.0005715918833952558,0.005334857578355721,0.03143755358673907,0.010002857959416977,0.0009526531389920929,0.001619510336286558,0.0019053062779841859,0.0003810612555968372,0.0011431837667905116,0.0017147756501857674,0.005525388206154139,0.0018100409640849767,0.005715918833952558,0.0,0.0005715918833952558,0.0002857959416976279,0.0,0.04391730970753548,0.0009526531389920929,0.003905877869867581,0.0002857959416976279
MAD06,0.15948777648428406,0.003856228172293364,0.002110011641443539,0.020736321303841676,0.00014551804423748544,0.007712456344586728,0.039871944121071014,0.04216385331781141,0.04787543655413271,0.0013460419091967403,0.04063591385331781,0.005238649592549476,0.015606810244470314,0.018189755529685683,0.004438300349243306,0.04223661233993015,0.03066792782305006,0.016152502910360883,0.19302968568102444,0.00589348079161816,0.026084109429569267,0.0009822467986030268,0.015934225844004658,0.011605064027939465,0.0015643189755529686,0.011532305005820722,0.00480209545983702,0.008039871944121072,0.0010550058207217695,0.002728463329452852,0.027975844004656577,0.008731082654249126,0.008185389988358556,0.004620197904540163,0.06773864959254948,0.00043655413271245633,0.004474679860302678,0.03168655413271246,0.007421420256111758,0.0,0.0016370779976717113,0.0008731082654249127,0.00040017462165308496,0.0010913853317811408,0.0037834691501746217,0.002546565774155995,0.0028012223515715947,0.004292782305005821,0.0,0.0013824214202561118,0.0006912107101280559,0.0,0.0307406868451688,0.0008367287543655413,0.005929860302677532,0.0
MAD07,0.21818181818181817,0.0,0.0,0.0,0.0,0.0,0.05090909090909091,0.025454545454545455,0.05818181818181818,0.0,0.034545454545454546,0.0,0.03090909090909091,0.005454545454545455,0.0,0.04909090909090909,0.056363636363636366,0.0,0.2545454545454545,0.0,0.0,0.0,0.005454545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17636363636363636,0.005454545454545455,0.012727272727272728,0.0,0.005454545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01090909090909091,0.0,0.0,0.0
MAD08,0.27877195862748316,0.003283533081595797,0.0011492365785585289,0.01165654243966508,0.0004925299622393696,0.004761122968313906,0.02380561484156953,0.04547693318010179,0.030044327696601543,0.0,0.06123789197176162,0.015596782137580036,0.038745690362830404,0.0014775898867181087,0.0,0.03710392382203251,0.029715974388441965,0.016089312099819404,0.08208832703989492,0.009850599244787392,0.027910031193564274,0.0013134132326383188,0.017402725332457725,0.012477425710064029,0.0018059431948776884,0.02380561484156953,0.003283533081595797,0.004104416351994746,0.0,0.0113281891315055,0.029059267772122803,0.009029715974388442,0.004761122968313906,0.0004925299622393696,0.012477425710064029,0.0,0.005746182892792645,0.02479067476604827,0.015268428829420456,0.0,0.0036118863897553768,0.0011492365785585289,0.0018059431948776884,0.0018059431948776884,0.0,0.003283533081595797,0.003119356427516007,0.0072237727795107535,0.0,0.0008208832703989492,0.0019701198489574783,0.0,0.06271548185847972,0.002134296503037268,0.013955015596782137,0.0
MAD09,0.18926077534312546,0.005417770286539851,0.0015651336383337346,0.023717794365518904,0.0003611846857693234,0.005899349867565616,0.04057307970142066,0.04827835299783289,0.036961232843727425,0.0012039489525644113,0.05381651817962918,0.011076330363592584,0.03021911870936672,0.01480857211654226,0.004936190705514086,0.03226583192872622,0.04803756320732001,0.013002648687695642,0.1308692511437515,0.007223693715386468,0.020948711774620755,0.0006019744762822056,0.02239345051769805,0.007223693715386468,0.0,0.021069106669877196,0.0034914519624367926,0.006019744762822056,0.000963159162051529,0.002889477486154587,0.02335660967974958,0.006862509029617144,0.008909222248976643,0.0033710570671803513,0.06405008427642668,0.0,0.005417770286539851,0.02456055863231399,0.010955935468336142,0.0003611846857693234,0.0015651336383337346,0.0010835540573079702,0.0,0.0006019744762822056,0.0016855285335901757,0.006501324343847821,0.001926318324103058,0.005417770286539851,0.0,0.0004815795810257645,0.0,0.0,0.03744281242475319,0.0,0.010353960992053936,0.0
MAD10,0.0,0.0,0.0,0.0079155672823219,0.0,0.0,0.0,0.0,0.018469656992084433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47229551451187335,0.0,0.010554089709762533,0.0,0.0,0.0,0.0,0.0,0.0,0.23746701846965698,0.0,0.0,0.0079155672823219,0.0,0.0,0.21108179419525067,0.03430079155672823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAD11,0.1933292155651637,0.0,0.0,0.07041383570105003,0.0,0.0067943174799258805,0.021000617665225447,0.02038295243977764,0.07906114885731934,0.0,0.033353922174181594,0.0,0.0067943174799258805,0.013588634959851761,0.06053119209388511,0.030883261272390366,0.045089561457689935,0.0024706609017912293,0.2291537986411365,0.0,0.0037059913526868438,0.0,0.0074119827053736875,0.008029647930821495,0.0,0.0018529956763434219,0.0067943174799258805,0.006176652254478073,0.0,0.0,0.02038295243977764,0.0,0.009882643607164917,0.013588634959851761,0.04632489190858555,0.0,0.006176652254478073,0.02347127856701668,0.004323656578134651,0.0,0.0018529956763434219,0.0,0.0,0.0,0.0018529956763434219,0.0,0.0018529956763434219,0.0,0.0,0.0,0.0,0.0,0.02347127856701668,0.0,0.0,0.0
MAD12,0.2235734331150608,0.0,0.0,0.07296538821328344,0.0,0.002806361085126286,0.05425631431244153,0.014967259120673527,0.042095416276894296,0.0,0.014967259120673527,0.0,0.0,0.025257249766136577,0.09354536950420954,0.026192703461178673,0.025257249766136577,0.002806361085126286,0.1580916744621141,0.002806361085126286,0.0,0.0,0.01403180542563143,0.0,0.0,0.0,0.0,0.006548175865294668,0.0,0.0,0.03461178671655753,0.0,0.013096351730589336,0.002806361085126286,0.1431244153414406,0.0,0.009354536950420954,0.002806361085126286,0.0,0.0,0.0,0.0,0.0,0.0,0.0037418147801683817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01028999064546305,0.0,0.0,0.0
MAD13,0.03953488372093023,0.0,0.0,0.018604651162790697,0.0,0.0034883720930232558,0.023255813953488372,0.0034883720930232558,0.02441860465116279,0.0034883720930232558,0.0,0.0,0.01627906976744186,0.0034883720930232558,0.0,0.031395348837209305,0.023255813953488372,0.0,0.28255813953488373,0.0,0.0034883720930232558,0.0,0.0,0.0,0.0,0.0,0.0,0.1872093023255814,0.0,0.0,0.03604651162790698,0.0,0.011627906976744186,0.16627906976744186,0.12209302325581395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAD14,0.03885903265812319,0.0012401818933443572,0.0,0.032658123191401406,0.0,0.00413393964448119,0.0826787928896238,0.02315006200909467,0.049607275733774284,0.007027697395618024,0.007854485324514262,0.0,0.026043819760231502,0.019016122364613478,0.015295576684580404,0.01694915254237288,0.015708970649028525,0.0,0.3050847457627119,0.0,0.0037205456800330715,0.0012401818933443572,0.012401818933443571,0.0045473336089293095,0.0,0.0028937577511368336,0.0,0.02066969822240595,0.0,0.0,0.06366267052501033,0.0024803637866887144,0.016122364613476645,0.14220752377015294,0.052087639520463004,0.0,0.0037205456800330715,0.00413393964448119,0.0012401818933443572,0.0,0.0,0.0012401818933443572,0.0,0.0,0.0028937577511368336,0.0028937577511368336,0.0,0.0,0.0,0.014055394791236048,0.0,0.0,0.0024803637866887144,0.0,0.0,0.0
MAD15,0.026168224299065422,0.0,0.0,0.0,0.0,0.0,0.005607476635514018,0.0,0.08785046728971962,0.0,0.014953271028037384,0.0,0.0,0.0,0.0,0.052336448598130844,0.018691588785046728,0.005607476635514018,0.5308411214953271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016822429906542057,0.0,0.22242990654205608,0.0,0.018691588785046728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAD16,0.03917050691244239,0.0,0.0,0.03456221198156682,0.0,0.0,0.1359447004608295,0.009216589861751152,0.03917050691244239,0.0069124423963133645,0.009216589861751152,0.0069124423963133645,0.0,0.027649769585253458,0.01152073732718894,0.016129032258064516,0.016129032258064516,0.0,0.19815668202764977,0.0,0.0,0.0,0.04838709677419355,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.009216589861751152,0.0,0.2488479262672811,0.0069124423963133645,0.10599078341013825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069124423963133645,0.0,0.0,0.0,0.0,0.0,0.0069124423963133645,0.0,0.0,0.0
MAD17,0.04589114194236926,0.0,0.0,0.02383493418712202,0.0,0.01672002845962291,0.11028103877623621,0.021344717182497332,0.08502312344361437,0.0017787264318747777,0.0064034151547491995,0.0035574528637495554,0.016008537886873,0.030594094628246176,0.005336179295624333,0.0288153681963714,0.03628601921024546,0.0032017075773745998,0.24759871931696906,0.0,0.0,0.0,0.01814300960512273,0.006047669868374244,0.0010672358591248667,0.0,0.0,0.007826396300249021,0.0,0.0,0.024190679473496977,0.003913198150124511,0.13802917111348276,0.012095339736748489,0.0711490572749911,0.0010672358591248667,0.0,0.005336179295624333,0.001422981145499822,0.0,0.0,0.0,0.0,0.0,0.0021344717182497333,0.0024902170046246885,0.0,0.0,0.0,0.0,0.0,0.0,0.019565990750622556,0.0,0.002845962290999644,0.0
MAD18,0.07099104758913145,0.001099418878592744,0.0,0.013664206062509817,0.001099418878592744,0.007538872310350243,0.021046018533061095,0.015863043819695305,0.0802575781372703,0.0017276582377885974,0.0708339877493325,0.022930736610648657,0.035652583634364694,0.01335008638291189,0.0064394534317575,0.05607036280822993,0.08905292916601225,0.0064394534317575,0.29464425946285533,0.0004711795193968902,0.02685723260562274,0.0,0.008952410868540914,0.007067692790953354,0.0,0.006596513271556463,0.0037694361551751216,0.008010051829747135,0.0,0.001099418878592744,0.02120307837286006,0.003926495994974085,0.014449505261504634,0.00738181247055128,0.027799591644416522,0.0,0.0032982566357782316,0.014135385581906707,0.0004711795193968902,0.0,0.001099418878592744,0.0014135385581906705,0.0,0.0004711795193968902,0.0014135385581906705,0.0014135385581906705,0.0004711795193968902,0.0014135385581906705,0.0,0.0,0.0004711795193968902,0.0,0.022459557091251768,0.0,0.005182974713365793,0.0
MAD19,0.09558232931726908,0.00321285140562249,0.0,0.09718875502008033,0.0,0.0024096385542168677,0.028112449799196786,0.06265060240963856,0.06746987951807229,0.0,0.02650602409638554,0.0,0.00963855421686747,0.008032128514056224,0.03855421686746988,0.027309236947791166,0.024096385542168676,0.0024096385542168677,0.2987951807228916,0.0,0.008032128514056224,0.0,0.0024096385542168677,0.0393574297188755,0.0,0.008032128514056224,0.0,0.010441767068273093,0.0,0.00321285140562249,0.015261044176706828,0.0,0.004819277108433735,0.00963855421686747,0.035341365461847386,0.0,0.00321285140562249,0.008835341365461847,0.004819277108433735,0.0,0.0,0.0,0.0,0.0,0.0024096385542168677,0.011244979919678716,0.0,0.0,0.0,0.0,0.0,0.0,0.030522088353413655,0.0,0.010441767068273093,0.0
MAD20,0.13123644251626898,0.0,0.0,0.0878524945770065,0.0,0.0,0.05856832971800434,0.04880694143167028,0.06399132321041215,0.0,0.01193058568329718,0.0,0.0032537960954446853,0.01735357917570499,0.020607375271149676,0.013015184381778741,0.014099783080260303,0.006507592190889371,0.1963123644251627,0.0,0.004338394793926247,0.0,0.01735357917570499,0.03579175704989154,0.0,0.01735357917570499,0.0,0.006507592190889371,0.0,0.0,0.04772234273318872,0.006507592190889371,0.0,0.0032537960954446853,0.07158351409978309,0.0,0.006507592190889371,0.021691973969631236,0.008676789587852495,0.0,0.0,0.0,0.0,0.0032537960954446853,0.0,0.0032537960954446853,0.0,0.0032537960954446853,0.0,0.0032537960954446853,0.0,0.0,0.0596529284164859,0.0,0.006507592190889371,0.0
MAD21,0.10926206085056311,0.0018490502605479913,0.0015128593040847202,0.025214321734745335,0.0,0.008068582955118508,0.047571020339552864,0.03361909564632711,0.041519583123213986,0.0018490502605479913,0.04790721129601614,0.014120020171457387,0.04101529668851908,0.024878130778282066,0.0045385779122541605,0.04051101025382417,0.07060010085728693,0.01025382417212977,0.15582450832072617,0.001176668347621449,0.01176668347621449,0.0010085728693898135,0.015632879475542108,0.01059001512859304,0.0,0.014624306606152295,0.0013447638258530846,0.004034291477559254,0.0005042864346949068,0.0015128593040847202,0.031265758951084216,0.004034291477559254,0.014624306606152295,0.006891914607497059,0.11094301563287948,0.0,0.002353336695242898,0.026054799125903513,0.005883341738107245,0.0,0.0013447638258530846,0.0005042864346949068,0.0,0.0,0.006387628172802151,0.006051437216338881,0.0015128593040847202,0.005379055303412338,0.0,0.004202386955790889,0.0,0.0,0.024710035300050427,0.0,0.005547150781643974,0.0
MAD22,0.31079717457114026,0.0,0.0,0.045408678102926335,0.0,0.0030272452068617556,0.030272452068617558,0.060544904137235116,0.02320887991927346,0.0,0.010090817356205853,0.0,0.006054490413723511,0.0030272452068617556,0.009081735620585268,0.025227043390514632,0.011099899091826439,0.010090817356205853,0.10494450050454086,0.0,0.0,0.0,0.02119071644803229,0.014127144298688193,0.0,0.005045408678102927,0.0,0.0030272452068617556,0.0,0.0,0.045408678102926335,0.006054490413723511,0.010090817356205853,0.0,0.02320887991927346,0.0,0.020181634712411706,0.013118062563067608,0.009081735620585268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007063572149344097,0.0,0.0,0.0,0.0,0.0,0.16448032290615539,0.0,0.005045408678102927,0.0
MAD23,0.07929320817228051,0.004417448923246825,0.003349898766795509,0.02624700901895822,0.0010307380820909259,0.006773421682311798,0.048150193263390394,0.034308853303883675,0.053672004417448925,0.0031290263206331676,0.046898582735137126,0.011411743051720965,0.027240935026688753,0.02643106939076017,0.006773421682311798,0.04995398490704951,0.06640898214614394,0.012810601877415792,0.2108595619363151,0.0036443953616786305,0.027204122952328363,0.0007362414872078042,0.013583655438983986,0.015240198785201546,0.0013252346769740476,0.00703110620283453,0.0041965764770844835,0.010049696300386527,0.0013252346769740476,0.0016565433462175593,0.024811338118903,0.007362414872078042,0.014577581446714522,0.009092582367016381,0.0654518682127738,0.0005889931897662433,0.002871341800110436,0.02315479477268544,0.005742683600220872,0.00018406037180195104,0.0011043622308117063,0.0024295969077857537,0.0004417448923246825,0.00014724829744156083,0.0040493281796429225,0.004270200625805264,0.0016565433462175593,0.0013620467513344376,0.00025768452052273147,0.001251610528253267,0.00014724829744156083,0.0,0.020762009939260077,0.0,0.0031290263206331676,0.0
